Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
IRB Infrastructure Developers Ltd.,Infrastructure,Small-Cap,December-2025,543311,2.31
BLS International Services Ltd.,Miscellaneous,Small-Cap,December-2025,68676,2.23
GNG Electronics Ltd.,Miscellaneous,Small-Cap,December-2025,69499,2.22
Ador Welding Ltd.,Capital Goods,Small-Cap,December-2025,20060,2.16
Poly Medicure Ltd.,Healthcare,Small-Cap,December-2025,11575,2.15
Standard Engineering Technology Ltd.,Capital Goods,Small-Cap,December-2025,134815,2.09
Oswal Pumps Ltd.,Capital Goods,Small-Cap,December-2025,38266,2.06
MOIL Ltd.,Energy,Small-Cap,December-2025,53751,1.9
Navkar Corporation Ltd.,Logistics,Small-Cap,December-2025,186788,1.86
Karur Vysya Bank Ltd.,Financials,Small-Cap,December-2025,71811,1.84
R Systems International Ltd.,Technology,Small-Cap,December-2025,45471,1.83
Ramco Systems Ltd.,Technology,Small-Cap,December-2025,31637,1.8
Sapphire Foods India Ltd.,FMCG,Small-Cap,December-2025,71344,1.8
La Opala RG Ltd.,Construction,Small-Cap,December-2025,83637,1.76
Camlin Fine Sciences Ltd.,Chemicals,Small-Cap,December-2025,111326,1.74
JTEKT India Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,113303,1.69
Aarti Industries Ltd.,Chemicals,Small-Cap,December-2025,44541,1.68
Pitti Engineering Ltd.,Capital Goods,Small-Cap,December-2025,19289,1.63
