Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
Solarworld Energy Solutions Ltd.,Infrastructure,Small-Cap,February-2026,369954,7.76
Gravita India Ltd.,Metals,Small-Cap,February-2026,47449,7.63
Styrenix Performance Materials Ltd.,Chemicals,Small-Cap,February-2026,39705,7.62
Bajaj Consumer Care Ltd.,FMCG,Small-Cap,February-2026,202801,7.45
Ventive Hospitality Ltd.,Travel,Small-Cap,February-2026,102586,7.39
IIFL Finance Ltd.,Financials,Small-Cap,February-2026,143726,7.37
EFC (I) Ltd.,Miscellaneous,Small-Cap,February-2026,306789,7.36
V2 Retail Ltd.,Retail and Other Services,Small-Cap,February-2026,36448,7.27
Pace Digitek Ltd.,Media and Communications,Small-Cap,February-2026,422922,7.25
Sai Life Sciences Ltd.,Healthcare,Small-Cap,February-2026,77645,7.12
Exide Industries Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,211652,6.94
Wework India Management Ltd.,Miscellaneous,Small-Cap,February-2026,128205,6.84
Care Ratings Ltd.,Miscellaneous,Small-Cap,February-2026,42420,6.82
Studds Accessories Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,132055,6.76
Dr. Agarwal's Health Care Ltd.,Healthcare,Small-Cap,February-2026,150929,6.67
Sky Gold and Diamonds Ltd.,Retail and Other Services,Small-Cap,February-2026,200235,6.66
Steel Strips Wheels Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,314011,6.58
Pondy Oxides & Chemicals Ltd.,Metals,Small-Cap,February-2026,55867,6.53
Avalon Technologies Ltd.,Capital Goods,Small-Cap,February-2026,68478,6.43
GNG Electronics Ltd.,Miscellaneous,Small-Cap,February-2026,200989,6.40
CORONA Remedies Ltd.,Healthcare,Small-Cap,February-2026,41608,6.38
Sanathan Textiles Ltd.,Textile,Small-Cap,February-2026,148282,6.37
Camlin Fine Sciences Ltd.,Chemicals,Small-Cap,February-2026,433159,6.35
